"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.564440584,      -9.281546705,      -10.05994918,      -10.00200659,       -4.67358496,       -11.4543041
          0,           0,           1,      -4.645622267,      -4.485561646,      -5.744073266,       -4.59200454,       -4.76181378,      -11.48779334
          0,           0,           2,      -4.645235447,      -4.485381525,      -5.744303134,      -4.592603348,      -4.759844737,      -11.46838683
          0,           0,           3,      -4.642375533,      -4.484135647,      -5.739714121,      -4.593332668,      -4.757198229,      -11.86090041
          0,           0,           4,      -4.638530245,      -4.481339876,      -5.731754447,      -4.594578013,      -4.753657437,      -12.05451582
          0,           0,           5,      -4.636980507,      -4.480011665,      -5.729411192,      -4.594887735,      -4.751994725,      -11.65319854
          0,           0,           6,      -4.597885895,      -4.444043322,      -5.679735943,      -4.608109286,      -4.713674477,      -11.59809613
          0,           0,           7,      -4.581137549,      -4.430438178,      -5.625459073,      -4.614154931,      -4.696367105,      -11.67486647
          0,           0,           8,      -4.544257757,      -4.400134876,      -5.560991003,      -4.627137535,      -4.658368429,      -11.61205765
          0,           0,           9,       -4.48101481,      -4.350441711,      -5.507619759,      -4.660879776,      -4.597024238,      -11.39771538
          0,           0,          10,      -4.435874747,      -4.312808082,      -5.483801698,       -4.69381008,      -4.545743555,      -11.16749729
          0,           0,          11,      -4.382319015,      -4.271417673,      -5.493137476,      -4.741047733,      -4.491946302,      -11.43452004
          0,           0,          12,      -4.331007349,      -4.227005017,      -5.518937592,      -4.778850152,      -4.444998242,      -11.41690695
          0,           0,          13,      -4.261969918,       -4.17463855,      -5.488712764,      -4.828679169,      -4.376603374,      -11.36957339
          0,           0,          14,      -4.254257606,       -4.17526556,      -5.487873041,      -4.809079018,      -4.361561399,      -11.16907916
          0,           0,          15,      -4.233566565,      -4.169109309,      -5.433144182,      -4.805912677,      -4.336759692,       -11.2284613
          0,           0,          16,      -4.235965326,      -4.179632403,      -5.414428193,      -4.808534337,      -4.338039444,      -11.11134978
          0,           0,          17,      -4.254230148,      -4.207144854,      -5.364497394,      -4.802075398,      -4.348409336,      -10.98837232
          0,           0,          18,      -4.246630245,      -4.209484865,      -5.318959892,      -4.785719702,      -4.337672797,      -10.89661359
          0,           0,          19,      -4.243516881,      -4.214979343,      -5.279723558,      -4.770215192,       -4.33193859,      -10.93905075
          0,           0,          20,      -4.240241132,      -4.222306886,      -5.218769914,      -4.753483929,      -4.322280164,      -10.97648404
          0,           0,          21,      -4.224784967,      -4.214933356,      -5.176741599,      -4.777176349,      -4.311536551,      -10.99717797
          0,           0,          22,      -4.206508595,       -4.20112953,       -5.14879645,      -4.788792281,      -4.297296713,      -10.83215017
          0,           0,          23,      -4.211606153,      -4.212801891,      -5.126852941,      -4.799613992,      -4.300856231,      -10.84929933
          0,           0,          24,      -4.239781081,      -4.240782669,      -5.157908699,      -4.808574062,      -4.318692757,      -10.87852285
          0,           0,          25,      -4.279673304,      -4.284212816,      -5.139529832,      -4.832269585,      -4.347631719,      -10.88963311
          0,           0,          26,      -4.302746517,      -4.309106099,      -5.138200945,      -4.873417098,      -4.363435753,      -10.76021251
          0,           0,          27,      -4.312129076,      -4.318434831,      -5.136328159,      -4.911078893,      -4.367710425,      -10.68648061
          0,           0,          28,      -4.339168144,      -4.347482668,      -5.158380491,      -4.955029315,      -4.387415933,       -10.7512066
          0,           0,          29,      -4.386252751,      -4.400479902,      -5.190613322,      -4.991048968,      -4.426032795,      -10.69481467
          0,           0,          30,      -4.427455645,      -4.448353869,         -5.228944,      -5.034475453,      -4.461629424,      -10.64484803
          0,           0,          31,       -4.47417307,      -4.500890111,      -5.280006575,      -5.086094669,      -4.505452845,      -10.60397324
          0,           0,          32,      -4.515519949,      -4.542838776,      -5.331366825,       -5.12943407,      -4.545379017,      -10.59525583
          0,           0,          33,      -4.567423953,      -4.593032002,      -5.408203557,      -5.172327812,      -4.591208249,      -10.56778772
          0,           0,          34,      -4.622774014,      -4.646512789,      -5.476132156,      -5.212974538,      -4.632078067,      -10.54913326
          0,           0,          35,      -4.680139859,       -4.70189335,      -5.538034897,      -5.264503432,      -4.668217244,      -10.53719504
          0,           0,          36,      -4.737341684,      -4.753839852,      -5.599213373,      -5.322596343,      -4.677695751,      -10.52850697
          0,           0,          37,      -4.796657881,      -4.804370454,      -5.658640036,      -5.375586589,      -4.634892096,      -10.52251947
          0,           0,          38,       -4.86273145,      -4.864732402,      -5.719490417,      -5.438390435,      -4.630478648,      -10.51894567
          0,           0,          39,      -4.931967873,       -4.94192953,      -5.783274424,      -5.505315844,      -4.461713663,      -10.51583318
          0,           0,          40,      -4.999909763,      -5.020280244,      -5.849902865,      -5.612364113,      -4.644275496,      -10.51653228
          0,           0,          41,      -5.063529085,      -5.086170159,      -5.922511565,      -5.700263699,      -4.801397125,      -10.51562874
          0,           0,          42,      -5.127376078,      -5.147780755,      -5.998658174,      -5.782725435,      -5.005247297,      -10.51467013
          0,           0,          43,      -5.192852946,      -5.209481681,      -6.073216711,      -5.859839031,      -5.125378968,      -10.51390771
          0,           0,          44,      -5.257933368,      -5.271354976,      -6.141303109,      -5.932081941,      -5.241447078,      -10.51328018
          0,           0,          45,      -5.319423204,      -5.330462554,      -6.204909338,      -5.999206383,      -5.339605485,      -10.51276742
          0,           0,          46,      -5.379483303,      -5.385728043,      -6.268986811,       -6.06227221,      -5.415474673,      -10.51225127
          0,           0,          47,      -5.435194014,      -5.439746523,      -6.335130779,      -6.125226102,       -5.47958098,      -10.51176124
          0,           0,          48,      -5.492780635,      -5.496619334,      -6.403478974,      -6.187089609,      -5.541286584,      -10.51120596
          0,           0,          49,      -5.551723717,      -5.555613568,      -6.467546113,      -6.246991742,      -5.602647184,      -10.51062228
          0,           0,          50,      -5.604464793,      -5.609739763,      -6.525859099,      -6.300339132,      -5.661117656,      -10.51000177
          0,           0,          51,      -5.643416639,      -5.652037202,      -6.580079515,      -6.348953281,      -5.713664921,      -10.50935967
          0,           0,          52,      -5.669177447,      -5.681407005,      -6.635518435,      -6.394600766,      -5.756420934,      -10.50871317
          0,           0,          53,      -5.690533967,      -5.705491715,      -6.693719307,      -6.439755572,      -5.792583278,      -10.50807275
          0,           0,          54,      -5.718156337,      -5.734639028,      -6.750114623,      -6.483482089,      -5.830115628,      -10.50745326
          0,           0,          55,      -5.757278648,      -5.774218767,      -6.799507657,      -6.523420994,      -5.874485357,      -10.50685282
          0,           0,          56,      -5.806300851,      -5.822708205,      -6.842967441,      -6.561132938,      -5.924752251,      -10.50627489
          0,           0,          57,      -5.859619605,      -5.874491834,      -6.887141254,      -6.602420423,      -5.975468363,      -10.50571306
          0,           0,          58,       -5.91332417,      -5.925883216,      -6.936862509,      -6.651912357,      -6.023282425,      -10.50517072
          0,           0,          59,      -5.969725504,      -5.979683061,      -6.991115081,      -6.707391713,      -6.072333053,      -10.50465925
          0,           0,          60,       -6.03500384,      -6.042373783,      -7.044995885,      -6.758673062,      -6.131080566,       -10.5041732
          0,           0,          61,      -6.111211683,      -6.115946332,      -7.095054736,      -6.795866402,      -6.203692389,       -10.5037285
          0,           0,          62,      -6.187718531,      -6.189910305,      -7.143065473,      -6.821798467,       -6.28167512,      -10.50331697
          0,           0,          63,      -6.241440949,       -6.24246381,      -7.193954278,      -6.849607728,      -6.341494129,       -10.5029389
          0,           0,          64,      -6.263817059,      -6.264826908,      -7.251432961,      -6.891672618,      -6.368419985,        -10.502589
          0,           0,          65,      -6.274628285,      -6.276066893,      -7.315771868,      -6.948390297,      -6.378304957,      -10.50226061
          0,           0,          66,      -6.296815881,      -6.298619221,      -7.384144265,       -7.00921996,      -6.396515001,        -10.501955
          0,           0,          67,      -6.339317294,      -6.341251247,       -7.45277461,      -7.057785646,      -6.435149023,      -10.50166894
          0,           0,          68,      -6.398005546,      -6.399836327,      -7.519209859,      -7.086118686,       -6.49255542,       -10.5014038
          0,           0,          69,      -6.458379014,      -6.459990256,       -7.58317631,       -7.10329943,       -6.55609922,      -10.50116088
          0,           0,          70,      -6.502576883,      -6.504092192,      -7.645597368,      -7.123965402,      -6.606837566,      -10.50093251
          0,           0,          71,      -6.525457409,      -6.527112232,      -7.707111506,      -7.156182336,      -6.634635927,      -10.50072618
          0,           0,          72,      -6.539323031,      -6.541199191,      -7.767495815,      -7.200056662,      -6.648788668,      -10.50053376
          0,           0,          73,      -6.558833308,      -6.560809865,      -7.826037139,      -7.249894214,      -6.665292862,      -10.50034627
          0,           0,          74,       -6.59082757,      -6.592698212,      -7.882087385,      -7.297170003,      -6.693286683,      -10.50017246
          0,           0,          75,      -6.634630391,      -6.636167886,      -7.935832542,      -7.335226472,      -6.733757564,      -10.49999657
          0,           0,          76,      -6.684754632,      -6.685775222,      -7.988298227,      -7.363973039,      -6.782253759,      -10.49984121
          0,           0,          77,      -6.733723472,      -6.734154897,      -8.040771808,      -7.389241866,      -6.831572733,       -10.4997033
          0,           0,          78,      -6.775642185,      -6.775587709,      -8.092539063,      -7.417159073,      -6.874950208,      -10.49956941
          0,           0,          79,      -6.809698211,      -6.809320491,      -8.140731862,      -7.450511018,      -6.909993842,      -10.49944391
          0,           0,          80,      -6.839826113,      -6.839185294,      -8.181755496,      -7.488720613,      -6.939507362,      -10.49932508
          0,           0,          81,      -6.871175319,      -6.870156855,      -8.215968577,      -7.529848589,      -6.968576838,      -10.49921633
          0,           0,          82,       -6.90674299,      -6.905100169,      -8.246184844,      -7.571582224,      -7.000715444,      -10.49911183
          0,           0,          83,      -6.946744027,      -6.944178733,      -8.275743857,      -7.611718985,       -7.03678387,      -10.49901283
          0,           0,          84,      -6.989472569,      -6.985688479,      -8.304597157,      -7.648743256,      -7.075579394,      -10.49892082
          0,           0,          85,      -7.032961799,      -7.027692599,      -8.332070766,       -7.68329279,      -7.115528339,      -10.49883649
          0,           0,          86,      -7.075595197,      -7.068635461,      -8.356309176,      -7.717255702,      -7.155162493,      -10.49875904
          0,           0,          87,      -7.116937569,      -7.108204746,      -8.377588613,      -7.752696561,      -7.193965689,      -10.49868676
          0,           0,          88,      -7.157456137,      -7.146952135,      -8.397058792,      -7.789713002,      -7.232052438,      -10.49861947
          0,           0,          89,      -7.198334765,      -7.185936204,      -8.417758044,      -7.827793608,      -7.270314843,      -10.49855614
          0,           0,          90,       -7.24004466,      -7.225538813,      -8.441565346,      -7.866690058,      -7.309096658,       -10.4984955
          0,           0,          91,      -7.282253959,      -7.265508084,      -8.469800324,      -7.908141052,      -7.348204862,      -10.49843783
          0,           0,          92,       -7.32475064,        -7.3057769,      -8.501040193,       -7.95382939,      -7.387494904,      -10.49838308
          0,           0,          93,      -7.368794688,      -7.347640088,      -8.532434857,      -8.003553343,      -7.428192507,      -10.49833148
          0,           0,          94,      -7.415966776,      -7.392660782,       -8.56049329,      -8.053879341,      -7.471889296,      -10.49828601
          0,           0,          95,      -7.466815039,      -7.441375201,       -8.58447822,      -8.101380855,      -7.519525029,      -10.49824258
          0,           0,          96,      -7.519534373,      -7.492195083,      -8.606271639,      -8.145493618,       -7.56999041,      -10.49820394
          0,           0,          97,      -7.571141718,      -7.542462831,      -8.629495229,      -8.189261917,      -7.620836902,      -10.49816756
          0,           0,          98,       -7.61954308,      -7.590239834,      -8.656495419,      -8.235336577,       -7.66966227,      -10.49813399
          0,           0,          99,      -7.665129569,      -7.635687104,      -8.687958863,      -8.284113458,      -7.715875632,      -10.49810268
          0,           0,         100,      -7.709745514,      -7.680209495,      -8.722165617,      -8.333531245,      -7.760429885,      -10.49807362
          0,           0,         101,      -7.755046477,       -7.72510548,      -8.755705696,      -8.381507808,      -7.804780736,      -10.49804625
          0,           0,         102,      -7.801510834,      -7.770742716,      -8.784857269,      -8.427155161,      -7.849772257,      -10.49802097
          0,           0,         103,      -7.848494394,      -7.816614407,      -8.808354977,      -8.471440872,      -7.895330811,        -10.497997
          0,           0,         104,      -7.894604271,      -7.861483862,      -8.828626301,      -8.515798896,      -7.940468496,      -10.49797461
          0,           0,         105,      -7.938023318,      -7.903756361,      -8.849191693,      -8.560990845,      -7.983483922,      -10.49795372
          0,           0,         106,      -7.977736556,       -7.94249595,      -8.872416052,      -8.606806402,      -8.023066193,      -10.49793384
          0,           0,         107,      -8.014318708,      -7.978083507,      -8.897981918,      -8.652042912,      -8.059198701,      -10.49791508
          0,           0,         108,      -8.050071823,      -8.012350897,      -8.923915458,      -8.695273795,      -8.093549602,      -10.49789771
          0,           0,         109,      -8.086602076,      -8.046589646,      -8.947381966,      -8.734929491,      -8.127606518,      -10.49788147
          0,           0,         110,      -8.123095601,      -8.080037885,      -8.966794856,      -8.770394307,      -8.161092373,      -10.49786611
          0,           0,         111,      -8.157498216,      -8.110973535,      -8.983387868,      -8.802993019,      -8.192618509,      -10.49785203
          0,           0,         112,      -8.187761163,      -8.137924815,      -8.999223764,      -8.833901259,      -8.220572831,      -10.49783883
          0,           0,         113,      -8.213780363,      -8.161092659,      -9.015910444,      -8.863681055,      -8.244753797,      -10.49782657
          0,           0,         114,      -8.237837245,      -8.182404181,      -9.034256174,       -8.89255322,      -8.266875596,       -10.4978153
          0,           0,         115,      -8.262073216,      -8.203730525,      -9.053417542,      -8.919021223,       -8.28875925,      -10.49780426
          0,           0,         116,      -8.287223102,      -8.225817458,      -9.072190012,      -8.942667189,      -8.311331542,      -10.49779428
          0,           0,         117,      -8.312720013,      -8.248265411,      -9.090371078,      -8.964821133,      -8.334436817,       -10.4977845
          0,           0,         118,      -8.337334683,      -8.270262562,      -9.108183188,      -8.986769218,      -8.357194294,      -10.49777526
          0,           0,         119,       -8.36061957,      -8.291611219,      -9.126351408,      -9.009657687,      -8.379206874,      -10.49776683
          0,           0,         120,      -8.382980082,      -8.312641563,      -9.145417837,      -9.033255842,      -8.400664018,      -10.49775909
          0,           0,         121,      -8.405260014,      -8.334039729,      -9.165149738,      -9.056702839,      -8.422162894,      -10.49775224
          0,           0,         122,      -8.428072274,      -8.356244663,      -9.185235957,      -9.079028706,       -8.44422896,       -10.4977458
          0,           0,         123,      -8.451809096,      -8.379510752,      -9.205346321,      -9.100228005,      -8.467316273,      -10.49773965
          0,           0,         124,      -8.475816632,      -8.403301396,      -9.225655788,      -9.120672307,      -8.490984443,      -10.49773385
          0,           0,         125,      -8.499303807,       -8.42705541,      -9.245942302,       -9.14060954,      -8.514519414,      -10.49772823
          0,           0,         126,       -8.52193042,      -8.450481104,      -9.266293566,      -9.160524527,      -8.537512387,      -10.49772325
          0,           0,         127,      -8.543561078,      -8.473389474,      -9.286819461,      -9.180358701,      -8.559757825,      -10.49771844
          0,           0,         128,      -8.564415637,      -8.495855535,      -9.307625732,      -9.200336735,      -8.581368017,      -10.49771368
          0,           0,         129,      -8.584416347,      -8.517822129,      -9.328564462,      -9.219804948,      -8.602292053,      -10.49770912
          0,           0,         130,      -8.603610623,      -8.539274908,       -9.34942976,      -9.238912467,      -8.622572654,      -10.49770544
          0,           0,         131,      -8.622684786,      -8.560753471,      -9.370523001,      -9.257535436,      -8.642742234,      -10.49770272
          0,           0,         132,      -8.641294443,      -8.581768175,      -9.391744433,       -9.27558395,      -8.662517246,      -10.49769947
          0,           0,         133,      -8.659476236,      -8.602294986,      -9.413192787,      -9.293428696,      -8.681880934,      -10.49769648
          0,           0,         134,       -8.67709181,      -8.622270224,      -9.434772453,      -9.311016626,       -8.70069182,      -10.49769314
          0,           0,         135,       -8.69440073,      -8.641885331,      -9.456659986,      -9.328670025,      -8.719084111,      -10.49768977
          0,           0,         136,      -8.711336072,      -8.661109803,      -9.478844459,      -9.346193632,      -8.736983412,      -10.49768736
          0,           0,         137,      -8.727845524,      -8.679929265,      -9.501333783,      -9.363647527,      -8.754362037,      -10.49768483
          0,           0,         138,      -8.743963442,      -8.698362296,      -9.524209575,      -9.380958595,      -8.771238314,      -10.49768261
          0,           0,         139,      -8.759428671,      -8.716175681,      -9.547246932,      -9.397619518,      -8.787403547,       -10.4976805
          0,           0,         140,      -8.774277018,      -8.733356805,      -9.570513361,       -9.41375926,      -8.802895632,      -10.49767832
          0,           0,         141,      -8.788404865,      -8.749828189,      -9.593901022,      -9.429325402,      -8.817647784,      -10.49767632
          0,           0,         142,      -8.802201471,      -8.765890804,      -9.617558489,      -9.444487027,      -8.831953809,      -10.49767453
          0,           0,         143,      -8.815556776,      -8.781488222,      -9.641270466,      -9.458963625,      -8.845751708,      -10.49767288
          0,           0,         144,      -8.828300786,      -8.796497347,      -9.664899299,      -9.472698924,      -8.858916072,      -10.49767139
          0,           0,         145,      -8.840496179,      -8.810429216,      -9.688406768,        -9.4852916,      -8.871482096,      -10.49766985
          0,           0,         146,      -8.852094351,      -8.824370069,      -9.711836793,      -9.498162863,      -8.883422021,      -10.49766857
          0,           0,         147,      -8.863385225,       -8.83790066,      -9.735056851,      -9.510272851,      -8.894965248,      -10.49766739
          0,           0,         148,       -8.87418798,      -8.850838568,      -9.757793611,      -9.521690902,      -8.905984327,      -10.49766632
          0,           0,         149,      -8.884712503,      -8.863196463,      -9.780066636,      -9.532557505,      -8.916636507,      -10.49766532
          0,           0,         150,      -8.894897566,      -8.875288782,      -9.801784993,      -9.543006656,       -8.92688634,      -10.49766438
          0,           0,         151,      -8.904796277,      -8.886998359,      -9.822968925,      -9.552958293,      -8.936802528,      -10.49766349
          0,           0,         152,      -8.914635303,      -8.898539099,      -9.843791222,      -9.562603741,      -8.946583755,      -10.49766265
          0,           0,         153,      -8.924252372,      -8.909788658,      -9.864060232,       -9.57183327,      -8.956120464,      -10.49766187
          0,           0,         154,      -8.933736059,      -8.920843003,      -9.883834067,       -9.58071743,      -8.965479803,      -10.49766114
          0,           0,         155,      -8.942891594,      -8.931510415,      -9.902991199,      -9.589223384,      -8.974509077,      -10.49766045
          0,           0,         156,      -8.951884783,      -8.941941329,      -9.921707986,      -9.597457427,      -8.983335708,      -10.49765984
          0,           0,         157,      -8.960798802,      -8.952232777,      -9.940003035,      -9.605442056,       -8.99203695,      -10.49765927
          0,           0,         158,       -8.96946102,      -8.962216463,       -9.95775933,      -9.613279693,      -9.000489444,      -10.49765877
          0,           0,         159,      -8.977909393,      -8.972044141,      -9.975000168,      -9.620057329,      -9.008711128,      -10.49765835
          0,           0,         160,      -8.985947127,      -8.981282532,      -9.991527938,      -9.626633042,      -9.016526868,      -10.49765819
          0,           0,         161,      -8.993608018,      -8.989979589,      -10.00748891,       -9.63309011,      -9.023946572,      -10.49765787
          0,           0,         162,      -9.000875506,      -8.998250011,      -10.02285738,      -9.639454572,      -9.030951305,      -10.49765743
          0,           0,         163,       -9.00783057,      -9.006118696,      -10.03760467,      -9.645649351,      -9.037600182,      -10.49765737
          0,           0,         164,      -9.014693484,       -9.01381193,      -10.05175783,      -9.651665682,      -9.044082074,      -10.49765742
          0,           0,         165,      -9.021267545,      -9.021058181,      -10.06517337,      -9.657486288,      -9.050266931,      -10.49765683
          0,           0,         166,      -9.027721142,      -9.026149379,      -10.07747948,      -9.661559847,      -9.056304229,      -10.49765675
          0,           0,         167,      -9.033793336,      -9.009506647,      -10.08234796,       -9.65045387,      -9.062003134,      -10.49765592
          0,           0,         168,      -9.036317653,      -8.885872309,      -10.04215736,      -9.560586777,      -9.064816242,      -10.49765454
          0,           0,         169,      -9.015676639,      -8.973166735,      -10.08523524,      -9.639215964,      -9.050125436,      -10.49765482
          0,           0,         170,      -9.024406487,      -8.934016521,      -10.07085543,      -9.634142874,      -9.056434972,      -10.49765425
          0,           0,         171,      -9.024064265,      -8.955683624,      -10.07657637,      -9.653298467,      -9.055851133,       -10.4976541
          0,           0,         172,      -9.025911304,      -8.996537453,       -10.0836785,      -9.668028874,      -9.057144145,      -10.49765421
          0,           0,         173,      -9.033361436,      -9.024568795,       -10.0820795,      -9.672998016,      -9.063280445,      -10.49765439
          0,           0,         174,      -9.040251529,      -9.035678407,      -10.07658326,      -9.676066042,      -9.069393989,      -10.49765466
          0,           0,         175,      -9.044775385,      -9.036994397,      -10.07023548,      -9.679033044,      -9.073666757,      -10.49765505
          0,           0,         176,      -9.048673308,      -9.038581151,      -10.06560998,      -9.685483731,       -9.07726235,      -10.49765403
          0,           0,         177,      -9.053865246,      -9.046966699,      -10.06438735,      -9.691709053,      -9.081667636,      -10.49765338
          0,           0,         178,      -9.061383025,      -9.053702984,      -10.06454607,      -9.697281085,      -9.087737637,      -10.49765323
          0,           0,         179,      -9.068087101,       -9.06012903,      -10.06629675,      -9.701088755,       -9.09329206,      -10.49765308
          0,           0,         180,      -9.073935811,      -9.065918951,      -10.06880924,      -9.704680866,      -9.098270936,      -10.49765291
          0,           0,         181,      -9.079560466,      -9.071559188,       -10.0714551,      -9.708238089,      -9.103189775,       -10.4976528
          0,           0,         182,       -9.08546123,      -9.077417214,      -10.07433567,      -9.711930996,      -9.108514361,      -10.49765272
          0,           0,         183,      -9.091652448,       -9.08318002,      -10.07769451,      -9.715976839,      -9.114285217,      -10.49765255
          0,           0,         184,       -9.09824793,      -9.089452911,      -10.08219801,      -9.720825364,      -9.120562834,      -10.49765246
          0,           0,         185,      -9.105383916,       -9.09628878,      -10.08801399,      -9.726532208,      -9.127388748,      -10.49765242
          0,           0,         186,      -9.113132717,      -9.103466609,      -10.09500783,       -9.73292894,      -9.134791999,      -10.49765216
          0,           0,         187,      -9.121575718,      -9.111411175,      -10.10303208,      -9.740136037,      -9.142826706,      -10.49765185
          0,           0,         188,      -9.130292335,      -9.119847801,      -10.11159244,      -9.748046323,      -9.151150421,      -10.49765156
          0,           0,         189,      -9.139396226,       -9.12840069,      -10.12063376,      -9.756275508,      -9.159844512,      -10.49765084
          0,           0,         190,       -9.14867499,      -9.137178299,      -10.13006259,      -9.764933586,       -9.16873983,      -10.49764896
          0,           0,         191,      -9.157983564,      -9.147434393,      -10.14002872,      -9.773417503,      -9.177723013,      -10.49764683
          0,           0,         192,      -9.167680883,      -9.150385836,      -10.14885787,      -9.775148619,      -9.187045864,      -10.49764585
          0,           0,         193,      -9.176277307,      -9.163908894,      -10.16034814,      -9.790898531,      -9.195664285,      -10.49764462
          0,           0,         194,      -9.186121238,      -8.937013513,      -10.10032498,      -9.519662738,      -9.205105053,      -10.49764346
          0,           0,         195,      -9.155001528,      -9.141646342,      -10.17615233,      -9.702383913,      -9.185695241,      -10.49764592
          0,           0,         196,      -9.181870295,      -9.181024824,      -10.18946099,      -9.785631708,      -9.206647808,      -10.49764861
          0,           0,         197,      -9.206575495,      -9.197973532,      -10.19724524,      -9.815463802,      -9.227073983,      -10.49764931
          0,           0,         198,      -9.216341058,      -9.206780763,      -10.20700854,      -9.831184247,      -9.236483222,      -10.49764978
          0,           0,         199,      -9.225241263,      -9.215200985,      -10.21392733,      -9.843325297,      -9.244761512,      -10.49764999
          0,           0,         200,      -9.233599244,      -9.222676731,      -10.22064415,      -9.851615308,      -9.252663936,      -10.49764994
          0,           0,         201,      -9.241731024,      -9.230298097,      -10.22900168,      -9.859375752,      -9.260460568,       -10.4976499
          0,           0,         202,      -9.249950475,      -9.238515269,       -10.2381466,      -9.867223319,      -9.268353792,      -10.49764984
          0,           0,         203,      -9.258158509,      -9.245339333,      -10.24681364,      -9.873692102,      -9.276280657,      -10.49764961
          0,           0,         204,       -9.26602199,      -9.251838059,      -10.25498379,      -9.880198324,      -9.283991274,      -10.49764941
          0,           0,         205,      -9.273219131,      -9.260443803,      -10.26307415,       -9.88807185,      -9.291201002,       -10.4976493
          0,           0,         206,      -9.280370469,      -9.267580439,      -10.27070927,      -9.894692213,      -9.298320947,       -10.4976491
          0,           0,         207,      -9.287254815,      -9.271936668,      -10.27787934,      -9.899673499,      -9.305173024,      -10.49764878
          0,           0,         208,      -9.293501854,      -9.278715203,      -10.28554496,      -9.906809382,      -9.311478224,      -10.49764856
          0,           0,         209,       -9.29979023,      -9.285461832,      -10.29313561,      -9.913383455,      -9.317740983,      -10.49764829
          0,           0,         210,      -9.305992656,      -9.272535426,      -10.29683524,      -9.903836137,      -9.323835594,       -10.4976477
          0,           0,         211,      -9.309244028,      -9.251356066,      -10.29803876,      -9.895203224,      -9.327578363,      -10.49764736
          0,           0,         212,      -9.308005369,      -9.237634298,      -10.29901239,      -9.896990623,      -9.327738382,      -10.49764729
          0,           0,         213,      -9.305782126,        -9.2817738,      -10.31002378,      -9.922217231,       -9.32698842,       -10.4976462
          0,           0,         214,      -9.314913621,      -9.289405597,       -10.3111042,      -9.933178194,      -9.334623537,      -10.49764575
          0,           0,         215,       -9.32075543,      -9.298492123,      -10.31216851,       -9.93961119,      -9.339964594,      -10.49764527
          0,           0,         216,      -9.325039845,      -9.302149345,      -10.31165562,      -9.944159023,      -9.344090623,      -10.49764518
          0,           0,         217,      -9.328586994,      -9.284511718,      -10.30683723,      -9.930703308,      -9.347541888,      -10.49764442
          0,           0,         218,      -9.329207503,       -9.29123575,      -10.30623278,      -9.944787897,      -9.348661407,      -10.49764405
          0,           0,         219,      -9.331102974,      -9.300378864,      -10.30525778,      -9.952323341,      -9.350726478,      -10.49764364
          0,           0,         220,      -9.335206055,      -9.266929992,      -10.29647633,      -9.919770012,      -9.354372801,      -10.49764294
